name,postscript_name,codepoints,opentype_category,export
.notdef,,,,true
A,,0041,,true
A-cy,uni0410,0410,,true
A7newcommashape,,,,true
AA,uniA732,A732,,true
AE,,00C6,,true
AEacute,,01FC,,true
AEmacron,uni01E2,01E2,,true
AEmod,,1D2D,,true
AEsmall,uni1D01,1D01,,true
AVhorizontalbar,uniA73A,A73A,,true
AY,uniA73C,A73C,,true
Aacute,,00C1,,true
Abreve,,0102,,true
Abreve-cy,uni04D0,04D0,,true
Abreveacute,uni1EAE,1EAE,,true
Abrevedotbelow,uni1EB6,1EB6,,true
Abrevegrave,uni1EB0,1EB0,,true
Abrevehookabove,uni1EB2,1EB2,,true
Abrevetilde,uni1EB4,1EB4,,true
Acaron,uni01CD,01CD,,true
Acircumflex,,00C2,,true
Acircumflexacute,uni1EA4,1EA4,,true
Acircumflexdotbelow,uni1EAC,1EAC,,true
Acircumflexgrave,uni1EA6,1EA6,,true
Acircumflexhookabove,uni1EA8,1EA8,,true
Acircumflextilde,uni1EAA,1EAA,,true
Adblgrave,uni0200,0200,,true
Adieresis,,00C4,,true
Adieresis-cy,uni04D2,04D2,,true
Adieresismacron,uni01DE,01DE,,true
Adotaccent,uni0226,0226,,true
Adotbelow,uni1EA0,1EA0,,true
Adotmacron,uni01E0,01E0,,true
Aevolapuk,,A79A,,true
Aglottal,,A7BA,,true
Agrave,,00C0,,true
Ahookabove,uni1EA2,1EA2,,true
Aie-cy,uni04D4,04D4,,true
Ain-egyptological,uniA724,A724,,true
Ainvertedbreve,uni0202,0202,,true
Alef-egyptological,uniA722,A722,,true
Aleutka-cy,uni051E,051E,,true
Alpha,,0391,,true
Alpha-latin,uni2C6D,2C6D,,true
Alphadasia,uni1F09,1F09,,true
Alphadasiaoxia,uni1F0D,1F0D,,true
Alphadasiaoxiaprosgegrammeni,uni1F8D,1F8D,,true
Alphadasiaoxiaprosgegrammeni.ad,uni1F8D.ad,,,true
Alphadasiaperispomeni,uni1F0F,1F0F,,true
Alphadasiaperispomeniprosgegrammeni,uni1F8F,1F8F,,true
Alphadasiaperispomeniprosgegrammeni.ad,uni1F8F.ad,,,true
Alphadasiaprosgegrammeni,uni1F89,1F89,,true
Alphadasiaprosgegrammeni.ad,uni1F89.ad,,,true
Alphadasiavaria,uni1F0B,1F0B,,true
Alphadasiavariaprosgegrammeni,uni1F8B,1F8B,,true
Alphadasiavariaprosgegrammeni.ad,uni1F8B.ad,,,true
