name,color
Alpha,"0.04,0.57,0.04,1"
Alphadasia,"0,0.67,0.91,1"
Alphadasiaoxia,"0,0.67,0.91,1"
Alphadasiaoxiaprosgegrammeni,"0,0.67,0.91,1"
Alphadasiaoxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Alphadasiaperispomeni,"0,0.67,0.91,1"
Alphadasiaperispomeniprosgegrammeni,"0,0.67,0.91,1"
Alphadasiaperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Alphadasiaprosgegrammeni,"0,0.67,0.91,1"
Alphadasiaprosgegrammeni.ad,"0,0.67,0.91,1"
Alphadasiavaria,"0,0.67,0.91,1"
Alphadasiavariaprosgegrammeni,"0,0.67,0.91,1"
Alphadasiavariaprosgegrammeni.ad,"0,0.67,0.91,1"
Alphamacron,"0.5,0.09,0.79,1"
Alphaoxia,"0,0.67,0.91,1"
Alphaprosgegrammeni,"0.5,0.09,0.79,1"
Alphaprosgegrammeni.ad,"0.5,0.09,0.79,1"
Alphapsili,"0,0.67,0.91,1"
Alphapsilioxia,"0,0.67,0.91,1"
Alphapsilioxiaprosgegrammeni,"0,0.67,0.91,1"
Alphapsilioxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Alphapsiliperispomeni,"0,0.67,0.91,1"
Alphapsiliperispomeniprosgegrammeni,"0,0.67,0.91,1"
Alphapsiliperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Alphapsiliprosgegrammeni,"0,0.67,0.91,1"
Alphapsiliprosgegrammeni.ad,"0,0.67,0.91,1"
Alphapsilivaria,"0,0.67,0.91,1"
Alphapsilivariaprosgegrammeni,"0,0.67,0.91,1"
Alphapsilivariaprosgegrammeni.ad,"0,0.67,0.91,1"
Alphatonos,"0,0.67,0.91,1"
Alphavaria,"0,0.67,0.91,1"
Alphavrachy,"0.5,0.09,0.79,1"
Archaicsampi,"0.04,0.57,0.04,1"
Beta,"0.04,0.57,0.04,1"
Chi,"0.04,0.57,0.04,1"
Delta,"0.04,0.57,0.04,1"
Digamma,"0.04,0.57,0.04,1"
Epsilon,"0.04,0.57,0.04,1"
Epsilondasia,"0,0.67,0.91,1"
Epsilondasiaoxia,"0,0.67,0.91,1"
Epsilondasiavaria,"0,0.67,0.91,1"
Epsilonoxia,"0,0.67,0.91,1"
Epsilonpsili,"0,0.67,0.91,1"
Epsilonpsilioxia,"0,0.67,0.91,1"
Epsilonpsilivaria,"0,0.67,0.91,1"
Epsilontonos,"0,0.67,0.91,1"
Epsilonvaria,"0,0.67,0.91,1"
Eta,"0.04,0.57,0.04,1"
Etadasia,"0,0.67,0.91,1"
Etadasiaoxia,"0,0.67,0.91,1"
Etadasiaoxiaprosgegrammeni,"0,0.67,0.91,1"
Etadasiaoxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Etadasiaperispomeni,"0,0.67,0.91,1"
Etadasiaperispomeniprosgegrammeni,"0,0.67,0.91,1"
Etadasiaperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Etadasiaprosgegrammeni,"0,0.67,0.91,1"
Etadasiaprosgegrammeni.ad,"0,0.67,0.91,1"
Etadasiavaria,"0,0.67,0.91,1"
Etadasiavariaprosgegrammeni,"0,0.67,0.91,1"
Etadasiavariaprosgegrammeni.ad,"0,0.67,0.91,1"
Etaoxia,"0,0.67,0.91,1"
Etaprosgegrammeni,"0.5,0.09,0.79,1"
Etaprosgegrammeni.ad,"0.5,0.09,0.79,1"
Etapsili,"0,0.67,0.91,1"
Etapsilioxia,"0,0.67,0.91,1"
Etapsilioxiaprosgegrammeni,"0,0.67,0.91,1"
Etapsilioxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Etapsiliperispomeni,"0,0.67,0.91,1"
Etapsiliperispomeniprosgegrammeni,"0,0.67,0.91,1"
Etapsiliperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Etapsiliprosgegrammeni,"0,0.67,0.91,1"
Etapsiliprosgegrammeni.ad,"0,0.67,0.91,1"
Etapsilivaria,"0,0.67,0.91,1"
Etapsilivariaprosgegrammeni,"0,0.67,0.91,1"
Etapsilivariaprosgegrammeni.ad,"0,0.67,0.91,1"
Etatonos,"0,0.67,0.91,1"
Etavaria,"0,0.67,0.91,1"
Gamma,"0.67,0.95,0.38,1"
Heta,"0.04,0.57,0.04,1"
Iota,"0.04,0.57,0.04,1"
Iota.salt,"0.04,0.57,0.04,1"
Iotadasia,"0,0.67,0.91,1"
Iotadasia.salt,"0,0.67,0.91,1"
Iotadasiaoxia,"0,0.67,0.91,1"
Iotadasiaoxia.salt,"0,0.67,0.91,1"
Iotadasiaperispomeni,"0,0.67,0.91,1"
Iotadasiaperispomeni.salt,"0,0.67,0.91,1"
Iotadasiavaria,"0,0.67,0.91,1"
Iotadasiavaria.salt,"0,0.67,0.91,1"
Iotadieresis,"0.5,0.09,0.79,1"
Iotadieresis.salt,"0.04,0.57,0.04,1"
Iotamacron,"0.5,0.09,0.79,1"
Iotamacron.salt,"0.5,0.09,0.79,1"
Iotaoxia,"0,0.67,0.91,1"
Iotaoxia.salt,"0,0.67,0.91,1"
Iotapsili,"0,0.67,0.91,1"
Iotapsili.salt,"0,0.67,0.91,1"
Iotapsilioxia,"0,0.67,0.91,1"
Iotapsilioxia.salt,"0,0.67,0.91,1"
Iotapsiliperispomeni,"0,0.67,0.91,1"
Iotapsiliperispomeni.salt,"0,0.67,0.91,1"
Iotapsilivaria,"0,0.67,0.91,1"
Iotapsilivaria.salt,"0,0.67,0.91,1"
Iotatonos,"0,0.67,0.91,1"
Iotatonos.salt,"0.04,0.57,0.04,1"
Iotavaria,"0,0.67,0.91,1"
Iotavaria.salt,"0,0.67,0.91,1"
Iotavrachy,"0.5,0.09,0.79,1"
Iotavrachy.salt,"0.5,0.09,0.79,1"
KaiSymbol,"0.67,0.95,0.38,1"
Kappa,"0.04,0.57,0.04,1"
Koppa,"0.04,0.57,0.04,1"
KoppaArchaic,"0.04,0.57,0.04,1"
Lambda,"0.67,0.95,0.38,1"
Mu,"0.04,0.57,0.04,1"
Nu,"0.04,0.57,0.04,1"
Omega,"0.04,0.57,0.04,1"
Omegadasia,"0,0.67,0.91,1"
Omegadasiaoxia,"0,0.67,0.91,1"
Omegadasiaoxiaprosgegrammeni,"0,0.67,0.91,1"
Omegadasiaoxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Omegadasiaperispomeni,"0,0.67,0.91,1"
Omegadasiaperispomeniprosgegrammeni,"0,0.67,0.91,1"
Omegadasiaperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Omegadasiaprosgegrammeni,"0,0.67,0.91,1"
Omegadasiaprosgegrammeni.ad,"0,0.67,0.91,1"
Omegadasiavaria,"0,0.67,0.91,1"
Omegadasiavariaprosgegrammeni,"0,0.67,0.91,1"
Omegadasiavariaprosgegrammeni.ad,"0,0.67,0.91,1"
Omegaoxia,"0,0.67,0.91,1"
Omegaprosgegrammeni,"0.5,0.09,0.79,1"
Omegaprosgegrammeni.ad,"0.5,0.09,0.79,1"
Omegapsili,"0,0.67,0.91,1"
Omegapsilioxia,"0,0.67,0.91,1"
Omegapsilioxiaprosgegrammeni,"0,0.67,0.91,1"
Omegapsilioxiaprosgegrammeni.ad,"0,0.67,0.91,1"
Omegapsiliperispomeni,"0,0.67,0.91,1"
Omegapsiliperispomeniprosgegrammeni,"0,0.67,0.91,1"
Omegapsiliperispomeniprosgegrammeni.ad,"0,0.67,0.91,1"
Omegapsiliprosgegrammeni,"0,0.67,0.91,1"
Omegapsiliprosgegrammeni.ad,"0,0.67,0.91,1"
Omegapsilivaria,"0,0.67,0.91,1"
Omegapsilivariaprosgegrammeni,"0,0.67,0.91,1"
Omegapsilivariaprosgegrammeni.ad,"0,0.67,0.91,1"
Omegatonos,"0,0.67,0.91,1"
Omegavaria,"0,0.67,0.91,1"
Omicron,"0.04,0.57,0.04,1"
Omicrondasia,"0,0.67,0.91,1"
Omicrondasiaoxia,"0,0.67,0.91,1"
Omicrondasiavaria,"0,0.67,0.91,1"
Omicronoxia,"0,0.67,0.91,1"
Omicronpsili,"0,0.67,0.91,1"
Omicronpsilioxia,"0,0.67,0.91,1"
Omicronpsilivaria,"0,0.67,0.91,1"
Omicrontonos,"0,0.67,0.91,1"
Omicronvaria,"0,0.67,0.91,1"
Pamphyliandigamma,"0.04,0.57,0.04,1"
Phi,"0.67,0.95,0.38,1"
Pi,"0.67,0.95,0.38,1"
Psi,"0.67,0.95,0.38,1"
Rho,"0.04,0.57,0.04,1"
Rhodasia,"0,0.67,0.91,1"
Sampi,"0.04,0.57,0.04,1"
San,"0.04,0.57,0.04,1"
Sho,"0.04,0.57,0.04,1"
Sigma,"0.67,0.95,0.38,1"
SigmaLunateDottedReversedSymbol,"0.04,0.57,0.04,1"
SigmaLunateDottedSymbol,"0.04,0.57,0.04,1"
SigmaLunateReversedSymbol,"0.04,0.57,0.04,1"
SigmaLunateSymbol,"0.04,0.57,0.04,1"
Stigma,"0.04,0.57,0.04,1"
Tau,"0.04,0.57,0.04,1"
Theta,"0.67,0.95,0.38,1"
ThetaSymbol,"0.04,0.57,0.04,1"
Upsilon,"0.04,0.57,0.04,1"
UpsilonacutehookSymbol,"0.04,0.57,0.04,1"
Upsilondasia,"0,0.67,0.91,1"
Upsilondasiaoxia,"0,0.67,0.91,1"
Upsilondasiaperispomeni,"0,0.67,0.91,1"
Upsilondasiavaria,"0,0.67,0.91,1"
Upsilondieresis,"0.5,0.09,0.79,1"
UpsilondieresishookSymbol,"0.04,0.57,0.04,1"
UpsilonhookSymbol,"0.67,0.95,0.38,1"
Upsilonmacron,"0.5,0.09,0.79,1"
Upsilonoxia,"0,0.67,0.91,1"
Upsilontonos,"0,0.67,0.91,1"
Upsilonvaria,"0,0.67,0.91,1"
Upsilonvrachy,"0.5,0.09,0.79,1"
Xi,"0.67,0.95,0.38,1"
Yot,"0.04,0.57,0.04,1"
Yot.salt,"0.04,0.57,0.04,1"
Zeta,"0.04,0.57,0.04,1"
alpha,"0.67,0.95,0.38,1"
alpha.sc,"0.04,0.57,0.04,1"
alpha_brevecomb_commaabovecomb_acutecomb,"0.85,0.26,0.06,1"
alpha_brevecomb_commaabovecomb_gravecomb,"0.85,0.26,0.06,1"
alpha_brevecomb_commareversedabovecomb_acutecomb,"0.85,0.26,0.06,1"
alpha_brevecomb_commareversedabovecomb_gravecomb,"0.85,0.26,0.06,1"
alpha_macroncomb_commaabovecomb_acutecomb,"0.85,0.26,0.06,1"
alpha_macroncomb_commaabovecomb_gravecomb,"0.85,0.26,0.06,1"
alpha_macroncomb_commareversedabovecomb_acutecomb,"0.85,0.26,0.06,1"
alpha_macroncomb_commareversedabovecomb_gravecomb,"0.85,0.26,0.06,1"
alphadasia,"0.5,0.09,0.79,1"
alphadasia.sc,"0.5,0.09,0.79,1"
alphadasia.sc.ss06,"0.5,0.09,0.79,1"
alphadasiaoxia,"0.5,0.09,0.79,1"
alphadasiaoxia.sc,"0.5,0.09,0.79,1"
alphadasiaoxia.sc.ss06,"0.5,0.09,0.79,1"
alphadasiaoxiaypogegrammeni,"0.5,0.09,0.79,1"
alphadasiaoxiaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphadasiaoxiaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphadasiaoxiaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphadasiaoxiaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphadasiaperispomeni,"0.5,0.09,0.79,1"
alphadasiaperispomeni.sc,"0.5,0.09,0.79,1"
alphadasiaperispomeni.sc.ss06,"0.5,0.09,0.79,1"
alphadasiaperispomeniypogegrammeni,"0.5,0.09,0.79,1"
alphadasiaperispomeniypogegrammeni.sc,"0.5,0.09,0.79,1"
alphadasiaperispomeniypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphadasiaperispomeniypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphadasiaperispomeniypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphadasiavaria,"0.5,0.09,0.79,1"
alphadasiavaria.sc,"0.5,0.09,0.79,1"
alphadasiavaria.sc.ss06,"0.5,0.09,0.79,1"
alphadasiavariaypogegrammeni,"0.5,0.09,0.79,1"
alphadasiavariaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphadasiavariaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphadasiavariaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphadasiavariaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphadasiaypogegrammeni,"0.5,0.09,0.79,1"
alphadasiaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphadasiaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphadasiaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphadasiaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphamacron,"0.5,0.09,0.79,1"
alphamacron.sc,"0.5,0.09,0.79,1"
alphamacron.sc.ss06,"0.5,0.09,0.79,1"
alphaoxia,"0.5,0.09,0.79,1"
alphaoxia.sc,"0.5,0.09,0.79,1"
alphaoxia.sc.ss06,"0.5,0.09,0.79,1"
alphaoxiaypogegrammeni,"0.5,0.09,0.79,1"
alphaoxiaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphaoxiaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphaoxiaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphaoxiaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphaperispomeni,"0.5,0.09,0.79,1"
alphaperispomeni.sc,"0.5,0.09,0.79,1"
alphaperispomeni.sc.ss06,"0.5,0.09,0.79,1"
alphaperispomeniypogegrammeni,"0.5,0.09,0.79,1"
alphaperispomeniypogegrammeni.sc,"0.5,0.09,0.79,1"
alphaperispomeniypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphaperispomeniypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphaperispomeniypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphapsili,"0.5,0.09,0.79,1"
alphapsili.sc,"0.5,0.09,0.79,1"
alphapsili.sc.ss06,"0.5,0.09,0.79,1"
alphapsilioxia,"0.5,0.09,0.79,1"
alphapsilioxia.sc,"0.5,0.09,0.79,1"
alphapsilioxia.sc.ss06,"0.5,0.09,0.79,1"
alphapsilioxiaypogegrammeni,"0.5,0.09,0.79,1"
alphapsilioxiaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphapsilioxiaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphapsilioxiaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphapsilioxiaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphapsiliperispomeni,"0.5,0.09,0.79,1"
alphapsiliperispomeni.sc,"0.5,0.09,0.79,1"
alphapsiliperispomeni.sc.ss06,"0.5,0.09,0.79,1"
alphapsiliperispomeniypogegrammeni,"0.5,0.09,0.79,1"
alphapsiliperispomeniypogegrammeni.sc,"0.5,0.09,0.79,1"
alphapsiliperispomeniypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphapsiliperispomeniypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphapsiliperispomeniypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphapsilivaria,"0.5,0.09,0.79,1"
alphapsilivaria.sc,"0.5,0.09,0.79,1"
alphapsilivaria.sc.ss06,"0.5,0.09,0.79,1"
alphapsilivariaypogegrammeni,"0.5,0.09,0.79,1"
alphapsilivariaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphapsilivariaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphapsilivariaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphapsilivariaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphapsiliypogegrammeni,"0.5,0.09,0.79,1"
alphapsiliypogegrammeni.sc,"0.5,0.09,0.79,1"
alphapsiliypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphapsiliypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphapsiliypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphatonos,"0.5,0.09,0.79,1"
alphatonos.sc,"0.5,0.09,0.79,1"
alphatonos.sc.ss06,"0.5,0.09,0.79,1"
alphavaria,"0.5,0.09,0.79,1"
alphavaria.sc,"0.5,0.09,0.79,1"
alphavaria.sc.ss06,"0.5,0.09,0.79,1"
alphavariaypogegrammeni,"0.5,0.09,0.79,1"
alphavariaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphavariaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphavariaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphavariaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
alphavrachy,"0.5,0.09,0.79,1"
alphavrachy.sc,"0.5,0.09,0.79,1"
alphavrachy.sc.ss06,"0.5,0.09,0.79,1"
alphaypogegrammeni,"0.5,0.09,0.79,1"
alphaypogegrammeni.sc,"0.5,0.09,0.79,1"
alphaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
alphaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
alphaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
anoteleia,"0.04,0.57,0.04,1"
anoteleia.sc,"0.04,0.57,0.04,1"
archaicsampi,"0.04,0.57,0.04,1"
beta,"0.67,0.95,0.38,1"
beta.sc,"0.04,0.57,0.04,1"
betaSymbol,"0.04,0.57,0.04,1"
betaSymbol.alt,"0.67,0.95,0.38,1"
betasubscript,"0.04,0.57,0.04,1"
chi,"0.67,0.95,0.38,1"
chi.sc,"0.67,0.95,0.38,1"
chisubscript,"0.04,0.57,0.04,1"
dasia,"0.04,0.57,0.04,1"
dasia.case,"0.04,0.57,0.04,1"
dasia.sc,"0.04,0.57,0.04,1"
dasiaoxia,"0.04,0.57,0.04,1"
dasiaoxia.case,"0.04,0.57,0.04,1"
dasiaoxia.sc,"0.04,0.57,0.04,1"
dasiaoxia_brevecomb,"0.04,0.57,0.04,1"
dasiaoxia_macronmod,"0.04,0.57,0.04,1"
dasiaperispomeni,"0.04,0.57,0.04,1"
dasiaperispomeni.case,"0.04,0.57,0.04,1"
dasiaperispomeni.sc,"0.04,0.57,0.04,1"
dasiavaria,"0.04,0.57,0.04,1"
dasiavaria.case,"0.04,0.57,0.04,1"
dasiavaria.sc,"0.04,0.57,0.04,1"
dasiavaria_brevecomb,"0.04,0.57,0.04,1"
dasiavaria_macronmod,"0.04,0.57,0.04,1"
delta,"0.67,0.95,0.38,1"
delta.sc,"0.67,0.95,0.38,1"
dialytikaoxia,"0.04,0.57,0.04,1"
dialytikaoxia.case,"0.04,0.57,0.04,1"
dialytikaoxia.sc,"0.04,0.57,0.04,1"
dialytikaperispomeni,"0.04,0.57,0.04,1"
dialytikaperispomeni.case,"0.04,0.57,0.04,1"
dialytikaperispomeni.sc,"0.04,0.57,0.04,1"
dialytikatonoscomb,"0.04,0.57,0.04,1"
dialytikavaria,"0.04,0.57,0.04,1"
dialytikavaria.case,"0.04,0.57,0.04,1"
dialytikavaria.sc,"0.04,0.57,0.04,1"
dieresistonos,"0.67,0.95,0.38,1"
dieresistonos.sc,"0.04,0.57,0.04,1"
digamma,"0.04,0.57,0.04,1"
epsilon,"0.67,0.95,0.38,1"
epsilon.sc,"0.04,0.57,0.04,1"
epsilonLunateReversedSymbol,"0.04,0.57,0.04,1"
epsilonLunateSymbol,"0.04,0.57,0.04,1"
epsilondasia,"0.5,0.09,0.79,1"
epsilondasia.sc,"0.5,0.09,0.79,1"
epsilondasia.sc.ss06,"0.5,0.09,0.79,1"
epsilondasiaoxia,"0.5,0.09,0.79,1"
epsilondasiaoxia.sc,"0.5,0.09,0.79,1"
epsilondasiaoxia.sc.ss06,"0.5,0.09,0.79,1"
epsilondasiavaria,"0.5,0.09,0.79,1"
epsilondasiavaria.sc,"0.5,0.09,0.79,1"
epsilondasiavaria.sc.ss06,"0.5,0.09,0.79,1"
epsilonoxia,"0.5,0.09,0.79,1"
epsilonoxia.sc,"0.5,0.09,0.79,1"
epsilonoxia.sc.ss06,"0.5,0.09,0.79,1"
epsilonpsili,"0.5,0.09,0.79,1"
epsilonpsili.sc,"0.5,0.09,0.79,1"
epsilonpsili.sc.ss06,"0.5,0.09,0.79,1"
epsilonpsilioxia,"0.5,0.09,0.79,1"
epsilonpsilioxia.sc,"0.5,0.09,0.79,1"
epsilonpsilioxia.sc.ss06,"0.5,0.09,0.79,1"
epsilonpsilivaria,"0.5,0.09,0.79,1"
epsilonpsilivaria.sc,"0.5,0.09,0.79,1"
epsilonpsilivaria.sc.ss06,"0.5,0.09,0.79,1"
epsilontonos,"0.5,0.09,0.79,1"
epsilontonos.sc,"0.5,0.09,0.79,1"
epsilontonos.sc.ss06,"0.5,0.09,0.79,1"
epsilonvaria,"0.5,0.09,0.79,1"
epsilonvaria.sc,"0.5,0.09,0.79,1"
epsilonvaria.sc.ss06,"0.5,0.09,0.79,1"
eta,"0.67,0.95,0.38,1"
eta.sc,"0.04,0.57,0.04,1"
etadasia,"0.5,0.09,0.79,1"
etadasia.sc,"0.5,0.09,0.79,1"
etadasia.sc.ss06,"0.5,0.09,0.79,1"
etadasiaoxia,"0.5,0.09,0.79,1"
etadasiaoxia.sc,"0.5,0.09,0.79,1"
etadasiaoxia.sc.ss06,"0.5,0.09,0.79,1"
etadasiaoxiaypogegrammeni,"0.5,0.09,0.79,1"
etadasiaoxiaypogegrammeni.sc,"0.5,0.09,0.79,1"
etadasiaoxiaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
etadasiaoxiaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
etadasiaoxiaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
etadasiaperispomeni,"0.5,0.09,0.79,1"
etadasiaperispomeni.sc,"0.5,0.09,0.79,1"
etadasiaperispomeni.sc.ss06,"0.5,0.09,0.79,1"
etadasiaperispomeniypogegrammeni,"0.5,0.09,0.79,1"
etadasiaperispomeniypogegrammeni.sc,"0.5,0.09,0.79,1"
etadasiaperispomeniypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
etadasiaperispomeniypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
etadasiaperispomeniypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
etadasiavaria,"0.5,0.09,0.79,1"
etadasiavaria.sc,"0.5,0.09,0.79,1"
etadasiavaria.sc.ss06,"0.5,0.09,0.79,1"
etadasiavariaypogegrammeni,"0.5,0.09,0.79,1"
etadasiavariaypogegrammeni.sc,"0.5,0.09,0.79,1"
etadasiavariaypogegrammeni.sc.ad,"0.5,0.09,0.79,1"
etadasiavariaypogegrammeni.sc.ad.ss06,"0.5,0.09,0.79,1"
etadasiavariaypogegrammeni.sc.ss06,"0.5,0.09,0.79,1"
etadasiaypogegrammeni,"0.5,0.09,0.79,1"
etadasiaypogegrammeni.sc,"0.5,0.09,0.79,1"
