name,postscript_name,codepoints,opentype_category,export
FC5E,,,,true
FC5F,,,,true
FC60,,,,true
FC61,,,,true
FC62,,,,true
FC63,,,,true
SAM4in,,,,true
SAM4xout,,,,true
SAMdot,,,,true
SAMline,,,,true
asterisk.SYRJ,,,,true
asterisk.SYRN,,,,true
backslash.SYRJ,,,,true
backslash.SYRN,,,,true
bracketleft.SYRJ,,,,true
bracketleft.SYRN,,,,true
bracketright.SYRJ,,,,true
bracketright.SYRN,,,,true
colon.SYRJ,,,,true
colon.SYRN,,,,true
degree.SYRJ,,,,true
degree.SYRN,,,,true
ellipsis.SYRJ,,,,true
ellipsis.SYRN,,,,true
equal.SYRJ,,,,true
equal.SYRN,,,,true
exclam.SYRJ,,,,true
exclam.SYRN,,,,true
guillemotleft,,00AB,,true
guillemotleft.SYRJ,,,,true
guillemotleft.SYRN,,,,true
guillemotright,,00BB,,true
guillemotright.SYRJ,,,,true
guillemotright.SYRN,,,,true
hyphen.SYRJ,,,,true
hyphen.SYRN,,,,true
minus,,2212,,true
minus.SYRJ,,,,true
minus.SYRN,,,,true
parenleft.SYRJ,,,,true
parenleft.SYRN,,,,true
parenleft.alt,,,,true
parenleft.alt.SYRJ,,,,true
parenleft.alt.SYRN,,,,true
parenright.SYRJ,,,,true
parenright.SYRN,,,,true
parenright.alt,,,,true
parenright.alt.SYRJ,,,,true
parenright.alt.SYRN,,,,true
period.SYRJ,,,,true
period.SYRN,,,,true
plus.SYRJ,,,,true
plus.SYRN,,,,true
slash.SYRJ,,,,true
slash.SYRN,,,,true
uni0303,,0303,,true
uni0303.SYRJ,,,,true
uni0303.SYRN,,,,true
uni0304,,0304,,true
uni0304.SYRJ,,,,true
uni0304.SYRN,,,,true
uni0307,,0307,,true
uni0307.SYRJ,,,,true
uni0307.SYRN,,,,true
uni0308,,0308,,true
uni0308.SYRJ,,,,true
uni0308.SYRN,,,,true
uni030A,,030A,,true
uni030A.SYRJ,,,,true
uni030A.SYRN,,,,true
uni030A.alt.SYRN,,,,true
uni0320,,0320,,true
uni0320.SYRJ,,,,true
uni0320.SYRN,,,,true
uni0323,,0323,,true
uni0323.SYRJ,,,,true
uni0323.SYRN,,,,true
uni0324,,0324,,true
uni0324.SYRJ,,,,true
uni0324.SYRN,,,,true
uni0325,,0325,,true
uni0325.SYRJ,,,,true
uni0325.SYRN,,,,true
uni0325.alt.SYRN,,,,true
uni032D,,032D,,true
uni032D.SYRJ,,,,true
uni032D.SYRN,,,,true
uni032E,,032E,,true
uni032E.SYRJ,,,,true
uni032E.SYRN,,,,true
uni0330,,0330,,true
uni0330.SYRJ,,,,true
uni0330.SYRN,,,,true
uni0331,,0331,,true
uni0331.SYRJ,,,,true
uni0331.SYRN,,,,true
uni060C,,060C,,true
uni060C.SYRJ,,,,true
uni060C.SYRN,,,,true
uni061B,,061B,,true
uni061B.SYRJ,,,,true
uni061B.SYRN,,,,true
uni061F,,061F,,true
uni061F.SYRJ,,,,true
uni061F.SYRN,,,,true
uni0621,,0621,,true
uni0621.SYRJ,,,,true
uni0621.SYRN,,,,true
uni0640,,0640,,true
uni0640.SYRJ,,,,true
uni0640.SYRN,,,,true
uni064B,,064B,,true
uni064B.SYRJ,,,,true
uni064B.SYRN,,,,true
uni064B0651,,,,true
uni064B0651.SYRJ,,,,true
uni064B0651.SYRN,,,,true
uni064C,,064C,,true
uni064C.SYRJ,,,,true
uni064C.SYRN,,,,true
uni064D,,064D,,true
uni064D.SYRJ,,,,true
uni064D.SYRN,,,,true
uni064E,,064E,,true
uni064E.SYRJ,,,,true
uni064E.SYRN,,,,true
uni064F,,064F,,true
uni064F.SYRJ,,,,true
uni064F.SYRN,,,,true
uni0650,,0650,,true
uni0650.SYRJ,,,,true
uni0650.SYRN,,,,true
uni0651,,0651,,true
uni0651.SYRJ,,,,true
uni0651.SYRN,,,,true
uni0652,,0652,,true
uni0652.SYRJ,,,,true
uni0652.SYRN,,,,true
uni0653,,0653,,true
uni0653.SYRJ,,,,true
uni0653.SYRN,,,,true
uni0654,,0654,,true
uni0654.SYRJ,,,,true
uni0654.SYRN,,,,true
uni0654064B,,,,true
uni0654064B.SYRJ,,,,true
uni0654064B.SYRN,,,,true
uni0654064C,,,,true
uni0654064C.SYRJ,,,,true
uni0654064C.SYRN,,,,true
uni0654064E,,,,true
uni0654064E.SYRJ,,,,true
uni0654064E.SYRN,,,,true
uni0654064F,,,,true
uni0654064F.SYRJ,,,,true
uni0654064F.SYRN,,,,true
uni06540652,,,,true
uni06540652.SYRJ,,,,true
uni06540652.SYRN,,,,true
uni0655,,0655,,true
uni0655.SYRJ,,,,true
uni0655.SYRN,,,,true
uni0655064D,,,,true
uni0655064D.SYRJ,,,,true
uni0655064D.SYRN,,,,true
uni06550650,,,,true
uni06550650.SYRJ,,,,true
uni06550650.SYRN,,,,true
uni0660,,0660,,true
uni0660.SYRJ,,,,true
uni0660.SYRN,,,,true
uni0661,,0661,,true
uni0661.SYRJ,,,,true
uni0661.SYRN,,,,true
uni0662,,0662,,true
uni0662.SYRJ,,,,true
uni0662.SYRN,,,,true
uni0663,,0663,,true
uni0663.SYRJ,,,,true
uni0663.SYRN,,,,true
uni0664,,0664,,true
uni0664.SYRJ,,,,true
uni0664.SYRN,,,,true
uni0665,,0665,,true
uni0665.SYRJ,,,,true
uni0665.SYRN,,,,true
uni0666,,0666,,true
uni0666.SYRJ,,,,true
uni0666.SYRN,,,,true
uni0667,,0667,,true
uni0667.SYRJ,,,,true
uni0667.SYRN,,,,true
uni0668,,0668,,true
uni0668.SYRJ,,,,true
uni0668.SYRN,,,,true
uni0669,,0669,,true
uni0669.SYRJ,,,,true
uni0669.SYRN,,,,true
uni066A,,066A,,true
uni066A.SYRJ,,,,true
uni066A.SYRN,,,,true
uni066B,,066B,,true
uni066B.SYRJ,,,,true
uni066B.SYRN,,,,true
uni066C,,066C,,true
uni066C.SYRJ,,,,true
uni066C.SYRN,,,,true
uni0670,,0670,,true
uni0670.SYRJ,,,,true
uni0670.SYRN,,,,true
uni0700,,0700,,true
uni0700.SYRJ,,,,true
uni0700.SYRN,,,,true
uni0701,,0701,,true
uni0701.SYRJ,,,,true
uni0701.SYRN,,,,true
uni0702,,0702,,true
uni0702.SYRJ,,,,true
uni0702.SYRN,,,,true
uni0703,,0703,,true
uni0703.SYRJ,,,,true
uni0703.SYRN,,,,true
uni0704,,0704,,true
uni0704.SYRJ,,,,true
uni0704.SYRN,,,,true
uni0705,,0705,,true
uni0705.SYRJ,,,,true
uni0705.SYRN,,,,true
uni0706,,0706,,true
uni0706.SYRJ,,,,true
uni0706.SYRN,,,,true
uni0707,,0707,,true
uni0707.SYRJ,,,,true
uni0707.SYRN,,,,true
uni0708,,0708,,true
uni0708.SYRJ,,,,true
uni0708.SYRN,,,,true
uni0709,,0709,,true
uni0709.SYRJ,,,,true
uni0709.SYRN,,,,true
uni070A,,070A,,true
uni070A.SYRJ,,,,true
uni070A.SYRN,,,,true
uni070B,,070B,,true
uni070B.SYRJ,,,,true
uni070B.SYRN,,,,true
uni070C,,070C,,true
uni070C.SYRJ,,,,true
uni070C.SYRN,,,,true
uni070D,,070D,,true
uni070D.SYRJ,,,,true
uni070D.SYRN,,,,true
uni070F,,070F,,true
uni070F.SYRJ,,,,true
uni070F.SYRN,,,,true
uni070F.blank,,,,true
uni070F.blank.SYRJ,,,,true
uni070F.blank.SYRN,,,,true
uni0710,,0710,,true
uni0710.Fina1,,,,true
uni0710.Fina1.SYRJ,,,,true
uni0710.Fina1.SYRN,,,,true
uni0710.Fina1N.SYRN,,,,true
uni0710.Fina1wideX,,,,true
uni0710.Fina1wideY,,,,true
uni0710.Fina2,,,,true
